candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner
mcnerney-50403,mcnerneyj,Jerry,True,McNerney,Jerry McNerney,2,democrat,57.4,57.4,9,CA,133163,True
amador-63605,amadort,Tony,,Amador,Tony Amador,1,republican,42.6,42.6,9,CA,98992,
denham-52493,denhamj,Jeff,True,Denham,Jeff Denham,1,republican,51.7,51.7,10,CA,124671,True
eggman-63608,eggmanm,Michael,,Eggman,Michael Eggman,2,democrat,48.3,48.3,10,CA,116470,
desaulnier-60108,desaulnierm,Mark,True,DeSaulnier,Mark DeSaulnier,1,democrat,72.1,72.1,11,CA,214868,True
petersen-58712,petersenr,Roger,,Petersen,Roger Allen Petersen,2,republican,27.9,27.9,11,CA,83341,
pelosi-24,pelosin,Nancy,True,Pelosi,Nancy Pelosi,1,democrat,80.9,80.9,12,CA,274035,True
picus-65023,picusp,Preston,,Picus,Preston Picus,2,independent,19.1,19.1,12,CA,64810,
lee-28,leeb,Barbara,True,Lee,Barbara Lee,2,democrat,90.8,90.8,13,CA,293117,True
caro-65024,caros,Sue,,Caro,Sue Caro,1,republican,9.2,9.2,13,CA,29754,
speier-52489,speierj,Jackie,True,Speier,Jackie Speier,2,democrat,80.9,80.9,14,CA,231630,True
cardenas-65579,cardenasa,Angel,,Cardenas,Angel Cardenas,1,republican,19.1,19.1,14,CA,54817,
swalwell-62343,swalwelle,Eric,True,Swalwell,Eric Swalwell,1,democrat,73.8,73.8,15,CA,198578,True
turner-65025,turnerd,Danny,,Turner,Danny Turner,2,republican,26.2,26.2,15,CA,70619,
costa-6818,costaj,Jim,True,Costa,Jim Costa,1,democrat,58.0,58.0,16,CA,97473,True
tacherra-62837,tacherraj,Johnny,,Tacherra,Johnny Tacherra,2,republican,42.0,42.0,16,CA,70483,
khanna-7547,khannar,Ro,,Khanna,Ro Khanna,2,democrat,61.0,61.0,17,CA,142268,True
honda-1206,hondam,Mike,True,Honda,Mike Honda,1,democrat,39.0,39.0,17,CA,90924,
eshoo-43,eshooa,Anna,True,Eshoo,Anna Eshoo,1,democrat,71.1,71.1,18,CA,230460,True
fox-63628,foxr,Richard,,Fox,Richard Fox,2,republican,28.9,28.9,18,CA,93470,
lofgren-49,lofgrenz,Zoe,True,Lofgren,Zoe Lofgren,2,democrat,73.9,73.9,19,CA,181802,True
lancaster-65029,lancasterb,Burt,,Lancaster,G. Burt Lancaster,1,republican,26.1,26.1,19,CA,64061,
panetta-65030,panettaj,Jimmy,,Panetta,Jimmy Panetta,2,democrat,70.8,70.8,20,CA,180980,True
lucius-65031,luciusc,Casey,,Lucius,Casey Lucius,1,republican,29.2,29.2,20,CA,74811,
valadao-62229,valadaod,David,True,Valadao,David Valadao,2,republican,56.7,56.7,21,CA,75126,True
huerta-65034,huertae,Emilio,,Huerta,Emilio Huerta,1,democrat,43.3,43.3,21,CA,57282,
nunes-67,nunesd,Devin,True,Nunes,Devin Nunes,2,republican,67.6,67.6,22,CA,158755,True
campos-65037,camposl,Louie,,Campos,Louie Campos,1,democrat,32.4,32.4,22,CA,76211,
mccarthy-52561,mccarthyk,Kevin,True,McCarthy,Kevin McCarthy,1,republican,69.2,69.2,23,CA,167116,True
reed-65039,reedw,Wendy,,Reed,Wendy Reed,2,democrat,30.8,30.8,23,CA,74468,
carbajal-65043,carbajals,Salud,,Carbajal,Salud Carbajal,1,democrat,53.4,53.4,24,CA,166034,True
fareed-63635,fareedj,Justin,,Fareed,Justin Fareed,2,republican,46.6,46.6,24,CA,144780,
knight-63641,knights,Steve,True,Knight,Steve Knight,2,republican,53.1,53.1,25,CA,138755,True
caforio-65048,caforiob,Bryan,,Caforio,Bryan Caforio,1,democrat,46.9,46.9,25,CA,122406,
brownley-62395,brownleyj,Julia,True,Brownley,Julia Brownley,1,democrat,60.4,60.4,26,CA,169248,True
dagnesses-63644,dagnessesr,Rafael,,Dagnesses,Rafael Dagnesses,2,republican,39.6,39.6,26,CA,111059,
chu-52450,chuj,Judy,True,Chu,Judy Chu,1,democrat,67.4,67.4,27,CA,168977,True
orswell-62396,orswellj,Jack,,Orswell,Jack Orswell,2,republican,32.6,32.6,27,CA,81655,
schiff-89,schiffa,Adam,True,Schiff,Adam Schiff,1,democrat,78.0,78.0,28,CA,210883,True
solis-65051,solisl,Lenore,,Solis,Lenore Solis,2,republican,22.0,22.0,28,CA,59526,
cardenas-6688,cardenast,Tony,True,Cardenas,Tony Cárdenas,2,democrat,74.7,74.7,29,CA,128407,True
alarcon-52500,alarconr,Richard,,Alarcon,Richard Alarcon,1,democrat,25.3,25.3,29,CA,43417,
sherman-84,shermanb,Brad,True,Sherman,Brad Sherman,2,democrat,72.6,72.6,30,CA,205279,True
reed-60848,reedm,Mark,,Reed,Mark Reed,1,republican,27.4,27.4,30,CA,77325,
aguilar-62883,aguilarp,Pete,True,Aguilar,Pete Aguilar,1,democrat,56.1,56.1,31,CA,121070,True
chabot-63653,chabotp,Paul,,Chabot,Paul Chabot,2,republican,43.9,43.9,31,CA,94866,
napolitano-113,napolitanog,Grace,True,Napolitano,Grace Napolitano,2,democrat,61.6,61.6,32,CA,114926,True
hernandez-65059,hernandezr,Roger,,Hernandez,Roger Hernandez,1,democrat,38.4,38.4,32,CA,71720,
lieu-63666,lieut,Ted,True,Lieu,Ted Lieu,1,democrat,66.4,66.4,33,CA,219397,True
wright-65106,wrightk,Kenneth,,Wright,Kenneth Wright,2,republican,33.6,33.6,33,CA,110822,
becerra-94,becerrax,Xavier,True,Becerra,Xavier Becerra,1,democrat,77.2,77.2,34,CA,122842,True
edwards-63681,edwardsa,Adrienne,,Edwards,Adrienne Edwards,2,democrat,22.8,22.8,34,CA,36314,
torres-63684,torresn,Norma,True,Torres,Norma Torres,2,democrat,72.4,72.4,35,CA,124044,True
fischella-65061,fischellat,Tyler,,Fischella,Tyler Fischella,1,republican,27.6,27.6,35,CA,47309,
ruiz-62342,ruizr,Raul,True,Ruiz,Raul Ruiz,1,democrat,62.1,62.1,36,CA,144348,True
stone-8546,stonej,Jeff,,Stone,Jeff Stone,2,republican,37.9,37.9,36,CA,88269,
bass-50853,bassk,Karen,True,Bass,Karen Bass,1,democrat,81.1,81.1,37,CA,192490,True
wiggins-65063,wigginsc,Chris,,Wiggins,Chris Wiggins,2,democrat,18.9,18.9,37,CA,44782,
sanchez-116,sanchezl,Linda,True,Sanchez,Linda Sánchez,2,democrat,70.5,70.5,38,CA,163590,True
downing-63654,downingr,Ryan,,Downing,Ryan Downing,1,republican,29.5,29.5,38,CA,68524,
royce-1215,roycee,Ed,True,Royce,Ed Royce,2,republican,57.2,57.2,39,CA,150777,True
murdock-65107,murdockb,Brett,,Murdock,Brett Murdock,1,democrat,42.8,42.8,39,CA,112679,
roybal-allard-102,roybal_allardl,Lucille,True,Roybal-Allard,Lucille Roybal-Allard,2,democrat,71.4,71.4,40,CA,106554,True
gonzalez-65066,gonzalezr,Roman,,Gonzalez,Roman Gonzalez,1,independent,28.6,28.6,40,CA,42743,
takano-8584,takanom,Mark,True,Takano,Mark Takano,2,democrat,65.0,65.0,41,CA,128164,True
shepherd-65069,shepherdd,Doug,,Shepherd,Doug Shepherd,1,republican,35.0,35.0,41,CA,69159,
calvert-132,calvertk,Ken,True,Calvert,Ken Calvert,1,republican,58.8,58.8,42,CA,149547,True
sheridan-63692,sheridant,Tim,,Sheridan,Tim Sheridan,2,democrat,41.2,41.2,42,CA,104689,
waters-104,watersm,Maxine,True,Waters,Maxine Waters,2,democrat,76.1,76.1,43,CA,167017,True
navarro-65070,navarroo,Omar,,Navarro,Omar Navarro,1,republican,23.9,23.9,43,CA,52499,
barragan-65073,barragann,Nanette,,Barragan,Nanette Barragán,1,democrat,52.2,52.2,44,CA,93124,True
