State,Party,Votes,Seats_Won,State_Seat_Count,State_Vote_Count,%_Votes,%_Winners,Votes_to_Elect_Candidate,%_of_Total,Missed_Seats,sort_order
MD,republican,962088,1,8,2703185,35.5909048030379,12.5,962088.0,0.7500125588327916,1.0,1
MD,democrat,1636200,7,8,2703185,60.52859867156706,87.5,233742.85714285713,0.1822183401046494,0.0,2
MD,other,104897,0,8,2703185,3.8804965253950434,0.0,inf,inf,0.0,3
ME,republican,357447,1,2,744074,48.03917352306357,50.0,357447.0,0.2786540723063845,0.0,1
ME,democrat,386627,1,2,744074,51.96082647693644,50.0,386627.0,0.30140185262038993,0.0,2
ME,other,0,0,2,744074,0.0,0.0,,,0.0,3
MI,republican,2243402,9,14,4670796,48.0303999575233,64.28571428571429,249266.88888888888,0.19432037107608108,0.0,1
MI,democrat,2193980,5,14,4670796,46.97229337354918,35.714285714285715,438796.0,0.3420711107150215,1.0,2
MI,other,233414,0,14,4670796,4.997306668927523,0.0,inf,inf,0.0,3
MN,republican,1334686,3,8,2856056,46.73178677168795,37.5,444895.3333333333,0.34682595289214824,0.0,1
MN,democrat,1434590,5,8,2856056,50.22975739971485,62.5,286918.0,0.223671954493962,0.0,2
MN,other,86780,0,8,2856056,3.0384558285971983,0.0,inf,inf,0.0,3
MO,republican,1600524,6,8,2750063,58.19953942873308,75.0,266754.0,0.2079527549651201,0.0,1
MO,democrat,1041306,2,8,2750063,37.86480527900633,25.0,520653.0,0.4058841694252183,1.0,2
MO,other,108233,0,8,2750063,3.935655292260577,0.0,inf,inf,0.0,3
MS,republican,680810,3,4,1182273,57.58483869630787,75.0,226936.66666666666,0.17691245505572353,0.0,1
MS,democrat,449896,1,4,1182273,38.05347834214264,25.0,449896.0,0.3507243102176075,0.0,2
MS,other,51567,0,4,1182273,4.36168296154949,0.0,inf,inf,0.0,3
MT,republican,285358,1,1,507831,56.191528284015746,100.0,285358.0,0.22245582915846343,0.0,1
MT,democrat,205919,0,1,507831,40.548725855648826,0.0,inf,inf,0.0,2
MT,other,16554,0,1,507831,3.2597458603354266,0.0,inf,inf,0.0,3
NC,republican,2447326,10,13,4598458,53.220579594290086,76.92307692307693,244732.6,0.1907855867195122,0.0,1
